name,website,pythh_url,description,primary_sector,current_stage,status,health_tier,entry_date,entry_god_score,current_god_score,god_delta,moic,irr_pct,entry_valuation_usd,current_valuation_usd,latest_round_type,latest_round_post_money_usd,latest_lead_investor,total_rounds_tracked,signal_score,sector_god_percentile,days_since_last_event,verified_funding_last_90d,exit_acquirer,exit_type,exit_date,holding_days,entered_late,virtual_check_usd
Housetrak,https://housetrak.com,https://pythh.ai/portfolio/927d6802-7f9b-453c-867c-f8280387241f,"ve helped thousands of people get the perfect domain name Since 2005, we",FinTech,1,active,review,2026-01-25,76,45,-31,1,0,12000000,12000000,,,,0,4.4,13.6,6,0,,,,144,no,100000
NeuBird,neubird.ai,https://pythh.ai/portfolio/967eff64-b37a-4d50-999f-4181cafc83e9,move fast and break things.,AI/ML,1,active,review,2026-06-09,95,85,-10,1.11,4579,96500000,107222222,Series A,,,13,,92.5,6,11,,,,10,no,100000
Salsify,www.salsify.com,https://pythh.ai/portfolio/a3461cc2-5f0a-48ef-acb8-657ac9323970,Salsify offers B2B solutions,Enterprise,2,active,review,2025-12-20,91,84,-7,1,0,2000000000,2000000000,,,,7,7.1,62.5,2,5,,,,181,yes,100000
Watershed,watershed.com,https://pythh.ai/portfolio/40ea5d8b-c32f-4ebf-a56e-9b6a07148ce5,Enterprise carbon accounting platform,Climate,1,active,review,2026-06-02,99,94,-5,1.07,0,1800000000,1926000000,seed,,,4,4,98.8,13,0,,,,17,yes,100000
Sendlane,https://sendlane.com,https://pythh.ai/portfolio/42352c95-48e2-4d82-8305-e55552e247d8,"Unified Email, SMS, Reviews & Forms",E-commerce,1,active,review,2025-12-28,85,90,5,1.67,193.8,10000000,16666667,,16666667,,1,4.5,99,8,0,,,,173,no,100000
CareSwift,careswift.com,https://pythh.ai/portfolio/a9306f07-18e6-4ea9-a675-2bae2bd17f0f,"CareSwiftNew York, NY, USAAI scribe for Ambulance ReportsSummer 2025Healthcare",HealthTech,1,active,review,2026-02-13,66,84,18,1,0,5000000,5000000,,,,0,4,94.5,6,0,,,,125,no,100000
Upscale AI,https://upscaleai.com,https://pythh.ai/portfolio/28fcff83-2c81-4378-8ecb-642b97d06227,Building the first pure-play AI networking company,AI/ML,3,active,watch,2026-01-21,94,91,-3,2,29.7,1000000000,2000000000,,,,22,7.1,99.4,3,19,,,,148,yes,100000
Chai Discovery,chaidiscovery.com,https://pythh.ai/portfolio/628647e9-620a-42f9-a376-c9e286b26be8,AI-driven drug discovery platform,AI/ML,seed,active,watch,2025-12-16,75,72,-3,1,0,1300000000,1300000000,Series B,1300000000,,25,,68.9,2,23,,,,184,yes,100000
Shorebird,shorebird.dev,https://pythh.ai/portfolio/bd2dccef-052e-4646-bb29-adf453afb933,Platform supercharging Flutter developers,Climate,1,active,watch,2026-06-10,91,90,-1,1,1000000,12000000,12000000,,,,3,4,97.2,13,0,,,,9,no,100000
Atempleton,https://atempleton.bearblog.dev/i-made-zig-compute-33-million-satellite-positions-in-3-seconds-no-gpu-required/,https://pythh.ai/portfolio/5c50283c-bac5-460f-ad41-c32c37d66d55,Fastest general purpose SGP4 implementation for satellite position computation.,Developer Tools,1,active,watch,2026-06-10,90,89,-1,1,0,11666667,11666667,,,,0,6.6,98.4,,0,,,,9,no,100000
